gene_id,NC1_count,NC2_count,NC3_count,NC4_count,PD1_count,PD2_count,PD3_count,PD4_count
ENSG00000013374,418,146,272,304,396,235,380,347
ENSG00000013375,254,134,242,199,354,362,281,382
ENSG00000013392,72,73,173,52,53,37,47,80
ENSG00000013441,886,56,35,1312,1050,1493,789,1327
ENSG00000013503,177,95,5,121,41,58,111,65
ENSG00000013523,315,162,133,269,203,265,269,178
ENSG00000013561,377,17,25,240,304,380,266,294
ENSG00000013563,167,84,143,110,247,179,220,223
ENSG00000013573,160,263,237,72,141,149,222,282
ENSG00000013583,152,84,173,141,110,82,102,82
ENSG00000013588,199,370,346,223,97,48,410,68
ENSG00000013619,35,123,430,59,25,56,24,53
ENSG00000013725,12,179,331,54,85,85,154,83
ENSG00000013810,23,50,35,33,38,58,89,86
ENSG00000014123,364,53,49,318,364,378,280,284
ENSG00000014138,74,62,119,91,38,69,78,75
ENSG00000014164,49,129,237,116,74,73,112,134
ENSG00000014216,808,179,222,574,413,323,457,414
ENSG00000014257,118,112,178,92,13,20,38,7
ENSG00000014641,601,140,94,423,310,350,434,238
ENSG00000014824,662,146,153,519,488,513,286,331
ENSG00000014914,102,179,291,128,217,271,222,555
ENSG00000014919,271,50,35,217,162,250,147,233
ENSG00000015133,287,258,602,242,168,154,481,290
ENSG00000015153,248,224,148,205,171,206,193,256
ENSG00000015171,795,78,25,754,355,611,297,324
ENSG00000015285,18,0,0,12,45,29,115,36
ENSG00000015413,23,112,59,24,28,21,10,9
ENSG00000015475,50,90,94,41,56,121,176,62
ENSG00000015479,2871,224,183,2162,1966,2835,1531,2139
ENSG00000015520,10,179,262,26,8,10,17,0
ENSG00000015532,229,123,148,304,234,217,289,339
ENSG00000015568,61,112,20,36,64,29,64,42
ENSG00000015592,13,196,153,23,6,11,27,3
ENSG00000015676,696,717,884,566,562,562,569,745
ENSG00000016082,2,95,119,5,4,18,10,6
ENSG00000016391,318,319,232,259,176,143,243,758
ENSG00000016402,4,185,143,48,6,5,31,5
ENSG00000016490,2,34,35,0,0,3,5,1
ENSG00000016602,0,0,3,1,0,0,0,0
ENSG00000016864,238,78,40,218,213,143,133,159
ENSG00000017260,931,162,104,895,1265,639,864,487
ENSG00000017373,48,286,439,58,5,24,78,11
ENSG00000017427,26,106,35,92,157,105,143,37
ENSG00000017483,16,6,54,12,28,2,69,90
ENSG00000017621,40,118,420,70,12,42,78,54
ENSG00000017797,1777,202,222,556,325,335,454,294
ENSG00000018189,700,62,123,701,751,757,924,2544
ENSG00000018236,165,101,74,398,7,31,40,4
ENSG00000018280,30,157,301,44,32,42,352,77
ENSG00000018408,863,140,173,730,1059,1749,772,785
ENSG00000018510,441,224,202,340,402,428,359,349
ENSG00000018610,121,28,5,98,128,113,75,94
ENSG00000018625,39,146,183,194,26,50,86,16
ENSG00000018699,121,17,5,137,136,115,96,113
ENSG00000018869,52,45,40,41,10,18,1,20
ENSG00000019102,4,0,30,11,4,4,17,3
ENSG00000019144,1287,969,1353,1479,446,967,725,1576
ENSG00000019169,0,17,25,6,6,5,45,4
ENSG00000019186,46,62,158,1,206,162,24,62
ENSG00000019485,116,224,474,112,35,54,93,59
ENSG00000019505,211,73,222,223,1265,110,236,911
ENSG00000019549,63,73,54,58,18,64,28,4
ENSG00000019582,4228,202,143,2272,9381,3675,12406,10286
ENSG00000019991,340,246,64,151,187,378,91,123
ENSG00000019995,396,73,190,339,218,463,222,222
ENSG00000020129,166,269,257,222,114,137,240,157
ENSG00000020181,198,275,336,393,198,866,350,145
ENSG00000020256,117,246,410,83,117,96,126,157
ENSG00000020426,155,17,10,81,46,198,82,72
ENSG00000020577,483,454,459,473,524,392,559,407
ENSG00000020633,21,111,161,13,88,36,79,156
ENSG00000020922,185,39,74,150,165,136,124,212
ENSG00000021300,113,297,459,74,14,24,71,18
ENSG00000021355,218,33,74,137,369,313,268,207
ENSG00000021461,2,0,25,1,5,12,5,2
ENSG00000021488,8,6,74,0,75,54,96,167
ENSG00000021574,186,78,64,129,149,132,175,159
ENSG00000021645,74,431,686,83,65,114,79,641
ENSG00000021762,212,224,272,311,152,159,120,275
ENSG00000021776,572,95,133,395,388,524,409,457
ENSG00000021826,56,308,153,64,23,38,24,188
ENSG00000021852,3,56,25,0,4,2,0,1
ENSG00000022267,312,67,123,1390,322,477,192,1139
ENSG00000022277,333,73,64,235,390,393,227,288
ENSG00000022355,1,123,15,7,1,11,23,0
ENSG00000022556,85,118,69,12,12,12,26,9
ENSG00000022567,507,650,642,515,183,440,337,98
ENSG00000022840,669,42,21,699,441,461,604,694
ENSG00000022976,143,50,123,120,51,111,135,61
ENSG00000023041,221,11,89,199,146,155,129,154
ENSG00000023171,99,229,351,108,147,66,343,67
ENSG00000023191,785,202,469,662,676,711,1113,610
ENSG00000023228,1735,112,191,1356,505,939,521,492
ENSG00000023287,632,11,49,692,780,723,503,543
ENSG00000023318,273,0,183,265,227,242,203,148
ENSG00000023330,243,39,54,177,103,120,167,82
ENSG00000023445,313,112,114,86,5327,858,1752,1986
ENSG00000023516,1381,331,109,1071,955,1156,578,844
ENSG00000023572,13,11,10,28,21,25,20,16
ENSG00000023608,128,6,5,61,76,142,109,30
ENSG00000023697,146,0,54,122,277,176,266,324
ENSG00000023734,325,28,0,233,257,275,216,132
ENSG00000023839,8,28,59,33,331,89,271,956
