gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,gene_label,regulation,significant_fdr,significant_fdr_lfc,neg_log10_pvalue,neg_log10_padj
ENSG00000243444,164.48720140494828,-1.3846523487801892,0.6396608026093842,0.007217340558960741,0.04501521965283893,ENSG00000243444,ENSG00000243444,Down,TRUE,TRUE,2.1416228015072885,1.3466406263640036
ENSG00000142748,62.7419808307769,2.131280765248312,1.3018762532007597,0.007233948127625924,0.045080415475106994,FCN3,FCN3,Up,TRUE,TRUE,2.140624609752806,1.346012090014688
ENSG00000196653,47.81715360743189,-1.5177652068242005,0.7314234142497263,0.007233248667462081,0.045080415475106994,ZNF502,ZNF502,Down,TRUE,TRUE,2.1406666043000575,1.346012090014688
ENSG00000178826,109.4282047874949,-1.201799591213623,0.5267368665471142,0.007239220764159206,0.04509799114257716,TMEM139,TMEM139,Down,TRUE,TRUE,2.140308179112093,1.3458428030250194
ENSG00000167910,16.452825817249774,-1.8595816934771252,1.0069841171739604,0.0072471580260670175,0.04510866189862758,CYP7A1,CYP7A1,Down,TRUE,TRUE,2.139832268680252,1.3457400556037191
ENSG00000175449,34.310900552076326,-1.5241575728679708,0.7349602313478186,0.007250745218724477,0.04510866189862758,RFESD,RFESD,Down,TRUE,TRUE,2.1396173551190083,1.3457400556037191
ENSG00000180879,434.62435113770016,1.4327783426752592,0.666733228469695,0.007249052335699804,0.04510866189862758,SSR4,SSR4,Up,TRUE,TRUE,2.139718764777551,1.3457400556037191
ENSG00000042980,218.00562097008282,1.267113616971542,0.5624998715079923,0.007247425597352134,0.04510866189862758,ADAM28,ADAM28,Up,TRUE,TRUE,2.139816234451788,1.3457400556037191
ENSG00000106038,67.70722103976462,-2.033576130022894,1.2069126125923648,0.007264451988272569,0.04517865135756934,EVX1,EVX1,Down,TRUE,TRUE,2.138797142198171,1.345066737486211
ENSG00000166250,31.91233483209818,-2.1085719580207294,1.289195402426069,0.007284718999137049,0.04525291667492934,CLMP,CLMP,Down,TRUE,TRUE,2.137587196052933,1.3443534240829673
ENSG00000134249,42.78498458673971,-2.0391549460431913,1.206322984173645,0.007288697074015264,0.04525291667492934,ADAM30,ADAM30,Down,TRUE,TRUE,2.137350099135855,1.3443534240829673
ENSG00000184408,72.83554582746815,-2.004753347217536,1.1746720433534643,0.007284364742446348,0.04525291667492934,KCND2,KCND2,Down,TRUE,TRUE,2.137608316355171,1.3443534240829673
ENSG00000203867,134.28981089371268,-1.6940192290417384,0.8714354150566738,0.0072878861350401496,0.04525291667492934,RBM20,RBM20,Down,TRUE,TRUE,2.1373984213410475,1.3443534240829673
ENSG00000162704,297.59798684866985,1.4858759059744615,0.7030625954349646,0.007284435624842193,0.04525291667492934,ARPC5,ARPC5,Up,TRUE,TRUE,2.137604090360909,1.3443534240829673
ENSG00000115705,81.17170430836084,-2.137274721341732,1.3503688029417873,0.007302917375341534,0.045282398226170216,TPO,TPO,Down,TRUE,TRUE,2.1365036129058907,1.3440705803001096
ENSG00000183207,192.38553776886775,1.1895605208163063,0.5189539085689194,0.007300655431262153,0.045282398226170216,RUVBL2,RUVBL2,Up,TRUE,TRUE,2.1366381484545425,1.3440705803001096
